site,product,count,duration
Lamberts Bay,OISST,9,3
Lamberts Bay,OISST,7,4
Lamberts Bay,OISST,2,6
Lamberts Bay,OISST,4,5
Lamberts Bay,OISST,2,7
Lamberts Bay,OISST,2,8
Lamberts Bay,OISST,1,10
Lamberts Bay,OISST,1,12
Lamberts Bay,OISST,1,14
Port Nolloth,OISST,4,3
Port Nolloth,OISST,2,4
Port Nolloth,OISST,4,5
Port Nolloth,OISST,1,9
Saldanha Bay,OISST,3,3
Saldanha Bay,OISST,11,4
Saldanha Bay,OISST,3,5
Saldanha Bay,OISST,3,6
Saldanha Bay,OISST,2,7
Saldanha Bay,OISST,3,8
Saldanha Bay,OISST,4,10
Saldanha Bay,OISST,3,11
Sea Point,OISST,12,3
Sea Point,OISST,10,4
Sea Point,OISST,1,5
Sea Point,OISST,5,7
Sea Point,OISST,4,8
Sea Point,OISST,1,9
Sea Point,OISST,1,11
Sea Point,OISST,2,12
Sea Point,OISST,1,14
Sea Point,OISST,1,16
Sea Point,OISST,1,17
Sea Point,OISST,1,18
Lamberts Bay,CMC,8,3
Saldanha Bay,CMC,12,3
Sea Point,CMC,15,3
Lamberts Bay,MUR,11,4
Lamberts Bay,MUR,8,6
Lamberts Bay,MUR,2,8
Lamberts Bay,MUR,3,10
Lamberts Bay,MUR,1,12
Lamberts Bay,MUR,1,14
Lamberts Bay,MUR,1,22
Lamberts Bay,MUR,1,24
Lamberts Bay,MUR,1,26
Port Nolloth,MUR,8,4
Port Nolloth,MUR,4,6
Port Nolloth,MUR,1,8
Port Nolloth,MUR,3,10
Saldanha Bay,MUR,9,4
Saldanha Bay,MUR,5,6
Saldanha Bay,MUR,2,8
Saldanha Bay,MUR,2,10
Saldanha Bay,MUR,3,12
Saldanha Bay,MUR,1,14
Saldanha Bay,MUR,1,16
Saldanha Bay,MUR,2,20
Saldanha Bay,MUR,2,22
Saldanha Bay,MUR,1,26
Sea Point,MUR,6,4
Sea Point,MUR,6,6
Sea Point,MUR,3,8
Sea Point,MUR,3,10
Sea Point,MUR,3,12
Sea Point,MUR,4,16
Sea Point,MUR,1,20
Sea Point,MUR,1,22
Sea Point,MUR,1,26
Sea Point,MUR,1,30
Lamberts Bay,G1SST,8,4
Lamberts Bay,G1SST,11,6
Lamberts Bay,G1SST,4,8
Lamberts Bay,G1SST,2,9
Lamberts Bay,G1SST,2,10
Lamberts Bay,G1SST,1,11
Lamberts Bay,G1SST,1,12
Lamberts Bay,G1SST,1,13
Lamberts Bay,G1SST,1,14
Lamberts Bay,G1SST,1,15
Lamberts Bay,G1SST,1,17
Port Nolloth,G1SST,2,3
Port Nolloth,G1SST,11,4
Port Nolloth,G1SST,4,6
Port Nolloth,G1SST,5,8
Port Nolloth,G1SST,1,9
Port Nolloth,G1SST,1,10
Port Nolloth,G1SST,1,12
Port Nolloth,G1SST,1,14
Saldanha Bay,G1SST,5,4
Saldanha Bay,G1SST,4,6
Saldanha Bay,G1SST,2,8
Saldanha Bay,G1SST,4,10
Saldanha Bay,G1SST,12,12
Saldanha Bay,G1SST,1,13
Saldanha Bay,G1SST,1,14
Saldanha Bay,G1SST,2,15
Saldanha Bay,G1SST,1,18
Saldanha Bay,G1SST,1,19
Saldanha Bay,G1SST,2,28
Sea Point,G1SST,8,4
Sea Point,G1SST,9,6
Sea Point,G1SST,3,8
Sea Point,G1SST,3,10
Sea Point,G1SST,5,14
Sea Point,G1SST,2,16
Sea Point,G1SST,2,20
Lamberts Bay,SACTN,3,3
Lamberts Bay,SACTN,5,4
Lamberts Bay,SACTN,1,5
Lamberts Bay,SACTN,2,6
Lamberts Bay,SACTN,2,9
Lamberts Bay,SACTN,2,12
Port Nolloth,SACTN,3,3
Port Nolloth,SACTN,2,5
Port Nolloth,SACTN,1,8
Port Nolloth,SACTN,1,11
Saldanha Bay,SACTN,8,3
Saldanha Bay,SACTN,12,4
Saldanha Bay,SACTN,4,5
Saldanha Bay,SACTN,3,6
Saldanha Bay,SACTN,2,8
Saldanha Bay,SACTN,2,9
Saldanha Bay,SACTN,1,10
Saldanha Bay,SACTN,1,11
Saldanha Bay,SACTN,1,12
Saldanha Bay,SACTN,1,17
Sea Point,SACTN,4,3
Sea Point,SACTN,6,4
Sea Point,SACTN,2,5
Sea Point,SACTN,1,6
Sea Point,SACTN,1,8
Sea Point,SACTN,3,10
Sea Point,SACTN,1,14
Sea Point,SACTN,1,18
Sea Point,SACTN,1,21
