,site,lon,lat,heading,distance
1,Port Nolloth,16.8,-29.2784411276949,254.673753138887,0
2,Port Nolloth,16.6,-29.2784411276949,254.673753138887,25000
3,Port Nolloth,16.1333333333333,-29.4121061359867,254.673753138887,50000
4,Lamberts Bay,18.2666666666667,-32.0854063018242,254.673753138887,0
5,Lamberts Bay,18.0666666666667,-32.1522388059701,254.673753138887,25000
6,Lamberts Bay,17.5333333333333,-32.285903814262,254.673753138887,50000
7,Saldanha Bay,17.86667,-33.02106,258.477851482866,0
8,Saldanha Bay,17.6666666666667,-33.0878938640133,258.477851482866,25000
9,Saldanha Bay,17.1333333333333,-33.1547263681592,258.477851482866,50000
10,Sea Point,18.3333333333333,-33.8898839137645,290,0
11,Sea Point,18.1333333333333,-33.8230514096186,290,25000
12,Sea Point,17.6,-33.6893864013267,290,50000
